,date,Ticker,name,weight,Exchange
0,2021-01-29,600006.ss,东风汽车,0.09,zz500
1,2021-01-29,600008.ss,首创股份,0.22,zz500
2,2021-01-29,600021.ss,上海电力,0.13,zz500
3,2021-01-29,600022.ss,山东钢铁,0.13,zz500
4,2021-01-29,600026.ss,中远海能,0.16,zz500
5,2021-01-29,600037.ss,歌华有线,0.15,zz500
6,2021-01-29,600038.ss,中直股份,0.29,zz500
7,2021-01-29,600039.ss,四川路桥,0.16,zz500
8,2021-01-29,600053.ss,九鼎投资,0.04,zz500
9,2021-01-29,600056.ss,中国医药,0.13,zz500
10,2021-01-29,600060.ss,海信视像,0.18,zz500
11,2021-01-29,600062.ss,华润双鹤,0.1,zz500
12,2021-01-29,600064.ss,南京高科,0.15,zz500
13,2021-01-29,600073.ss,上海梅林,0.1,zz500
14,2021-01-29,600079.ss,人福医药,0.52,zz500
15,2021-01-29,600089.ss,特变电工,0.84,zz500
16,2021-01-29,600094.ss,大名城,0.1,zz500
17,2021-01-29,600120.ss,浙江东方,0.13,zz500
18,2021-01-29,600126.ss,杭钢股份,0.12,zz500
19,2021-01-29,600131.ss,国网信通,0.09,zz500
20,2021-01-29,600132.ss,重庆啤酒,0.58,zz500
21,2021-01-29,600141.ss,兴发集团,0.13,zz500
22,2021-01-29,600143.ss,金发科技,0.9,zz500
23,2021-01-29,600153.ss,建发股份,0.24,zz500
24,2021-01-29,600155.ss,华创阳安,0.23,zz500
25,2021-01-29,600158.ss,中体产业,0.14,zz500
26,2021-01-29,600160.ss,巨化股份,0.21,zz500
27,2021-01-29,600166.ss,福田汽车,0.21,zz500
28,2021-01-29,600167.ss,联美控股,0.16,zz500
29,2021-01-29,600170.ss,上海建工,0.23,zz500
30,2021-01-29,600171.ss,上海贝岭,0.14,zz500
31,2021-01-29,600188.ss,兖州煤业,0.14,zz500
32,2021-01-29,600195.ss,中牧股份,0.15,zz500
33,2021-01-29,600201.ss,生物股份,0.46,zz500
34,2021-01-29,600216.ss,浙江医药,0.16,zz500
35,2021-01-29,600219.ss,南山铝业,0.42,zz500
36,2021-01-29,600256.ss,广汇能源,0.18,zz500
37,2021-01-29,600258.ss,首旅酒店,0.19,zz500
38,2021-01-29,600259.ss,广晟有色,0.12,zz500
39,2021-01-29,600260.ss,凯乐科技,0.16,zz500
40,2021-01-29,600266.ss,城建发展,0.11,zz500
41,2021-01-29,600273.ss,嘉化能源,0.15,zz500
42,2021-01-29,600277.ss,亿利洁能,0.07,zz500
43,2021-01-29,600282.ss,南钢股份,0.17,zz500
44,2021-01-29,600291.ss,西水股份,0.04,zz500
45,2021-01-29,600307.ss,酒钢宏兴,0.08,zz500
46,2021-01-29,600312.ss,平高电气,0.09,zz500
47,2021-01-29,600315.ss,上海家化,0.24,zz500
48,2021-01-29,600316.ss,洪都航空,0.32,zz500
49,2021-01-29,600325.ss,华发股份,0.19,zz500
50,2021-01-29,600329.ss,中新药业,0.09,zz500
51,2021-01-29,600338.ss,西藏珠峰,0.09,zz500
52,2021-01-29,600339.ss,中油工程,0.08,zz500
53,2021-01-29,600348.ss,华阳股份,0.1,zz500
54,2021-01-29,600350.ss,山东高速,0.06,zz500
55,2021-01-29,600372.ss,中航电子,0.25,zz500
56,2021-01-29,600373.ss,中文传媒,0.12,zz500
57,2021-01-29,600376.ss,首开股份,0.13,zz500
58,2021-01-29,600380.ss,健康元,0.26,zz500
59,2021-01-29,600388.ss,龙净环保,0.11,zz500
60,2021-01-29,600392.ss,盛和资源,0.4,zz500
61,2021-01-29,600398.ss,海澜之家,0.14,zz500
62,2021-01-29,600409.ss,三友化工,0.26,zz500
63,2021-01-29,600410.ss,华胜天成,0.14,zz500
64,2021-01-29,600415.ss,小商品城,0.25,zz500
65,2021-01-29,600418.ss,江淮汽车,0.21,zz500
66,2021-01-29,600426.ss,华鲁恒升,0.79,zz500
67,2021-01-29,600435.ss,北方导航,0.15,zz500
68,2021-01-29,600446.ss,金证股份,0.16,zz500
69,2021-01-29,600460.ss,士兰微,0.31,zz500
70,2021-01-29,600466.ss,蓝光发展,0.11,zz500
71,2021-01-29,600486.ss,扬农化工,0.47,zz500
72,2021-01-29,600497.ss,驰宏锌锗,0.23,zz500
73,2021-01-29,600500.ss,中化国际,0.12,zz500
74,2021-01-29,600507.ss,方大特钢,0.12,zz500
75,2021-01-29,600511.ss,国药股份,0.27,zz500
76,2021-01-29,600515.ss,*ST基础,0.2,zz500
77,2021-01-29,600516.ss,方大炭素,0.31,zz500
78,2021-01-29,600517.ss,国网英大,0.07,zz500
79,2021-01-29,600528.ss,中铁工业,0.2,zz500
80,2021-01-29,600529.ss,山东药玻,0.32,zz500
81,2021-01-29,600535.ss,天士力,0.22,zz500
82,2021-01-29,600545.ss,卓郎智能,0.06,zz500
83,2021-01-29,600546.ss,山煤国际,0.09,zz500
84,2021-01-29,600549.ss,厦门钨业,0.27,zz500
85,2021-01-29,600556.ss,天下秀,0.08,zz500
86,2021-01-29,600563.ss,法拉电子,0.24,zz500
87,2021-01-29,600566.ss,济川药业,0.09,zz500
88,2021-01-29,600567.ss,山鹰国际,0.17,zz500
89,2021-01-29,600572.ss,康恩贝,0.14,zz500
90,2021-01-29,600575.ss,淮河能源,0.06,zz500
91,2021-01-29,600580.ss,卧龙电驱,0.17,zz500
92,2021-01-29,600582.ss,天地科技,0.09,zz500
93,2021-01-29,600597.ss,光明乳业,0.2,zz500
94,2021-01-29,600598.ss,北大荒,0.21,zz500
95,2021-01-29,600623.ss,华谊集团,0.06,zz500
96,2021-01-29,600633.ss,浙数文化,0.1,zz500
